"< ab «
"> bb »
*x d7 ×
a` e0 à
a' e1 á
a^ e2 â
a~ e3 ã
a" e4 ä
a0 e5 å
ae e6 æ
c, e7 ç
e` e8 è
e' e9 é
e^ ea ê
e" eb ë
i` ec ì
i' ed í
i^ ee î
i" ef ï
dh f0 ð
n~ f1 ñ
o` f2 ò
o' f3 ó
o^ f4 ô
o~ f5 õ
o" f6 ö
o/ f8 ø
u` f9 ù
u' fa ú
u^ fb û
u" fc ü
y' fd ý
th fe þ
y" ff ÿ
h= 127 ħ
i~ 129 ĩ
ii 131 ı
l/ 142 ł
ng 14b ŋ
u~ 169 ũ
p! 24b ɋ
lzh 26e ɮ
t! 287 ʇ
c! 297 ʗ
k! 29e ʞ
lz 2ab ʫ
:^ 2d0 ː
;^ 2d1 ˑ
t;! 3c8 ψ
e~ 1ebd ẽ
-n 2013 –
-m 2014 —
'[ 2018 ‘
'] 2019 ’
'], 201a ‚
"[ 201c “
"] 201d ”
"], 201e „
.3 2026 …
'< 2039 ‹
'> 203a ›
!! 203c ‼
:!! 203c,fe0f ‼️
?! 203d ‽
/f 2044 ⁄
|C 2102 ℂ
|H 210d ℍ
|N 2115 ℕ
|Q 211a ℚ
|R 211d ℝ
|Z 2124 ℤ
<e 2208 ∈
<e/ 2209 ∉
>e 220b ∋
-- 2212 −
<m 2227 ∧
>m 2228 ∨
<_ 2264 ≤
>_ 2265 ≥
<< 226a ≪
>> 226b ≫
<c 2282 ⊂
>c 2283 ⊃
<c/ 2284 ⊄
>c/ 2285 ⊅
<c_ 2286 ⊆
>c_ 2287 ⊇
*. 22c5 ⋅
[[ 27e6 ⟦
]] 27e7 ⟧
[< 27e8 ⟨
]> 27e9 ⟩
[[< 27ea ⟪
]]> 27eb ⟫
// 2afd ⫽
(( 2e28 ⸨
)) 2e29 ⸩
Vy a760 Ꝡ
vy a761 ꝡ
|F 1d53d 𝔽
j! 1df0b 𝼋
<33 1f49e 💞
u_u 1f614 😔
@~@ 1f635,200d,1f4ab 😵‍💫
:pl 1f97a 🥺
